ID,site,country,lat,long,elev,IGBP,href
29,BE-Vie,Belgium,50.3051,5.9981,493,MF,http://sites.fluxdata.org/BE-Vie/
30,BR-Sa1,Brazil,-2.8567,-54.9589,88,EBF,http://sites.fluxdata.org/BR-Sa1/
31,BR-Sa3,Brazil,-3.018,-54.9714,100,EBF,http://sites.fluxdata.org/BR-Sa3/
32,CA-Gro,Canada,48.2167,-82.1556,340,MF,http://sites.fluxdata.org/CA-Gro/
33,CA-Man,Canada,55.8796,-98.4808,259,ENF,http://sites.fluxdata.org/CA-Man/
34,CA-NS1,Canada,55.8792,-98.4839,260,ENF,http://sites.fluxdata.org/CA-NS1/
35,CA-NS2,Canada,55.9058,-98.5247,260,ENF,http://sites.fluxdata.org/CA-NS2/
36,CA-NS3,Canada,55.9117,-98.3822,260,ENF,http://sites.fluxdata.org/CA-NS3/
37,CA-NS4,Canada,55.9117,-98.3822,260,ENF,http://sites.fluxdata.org/CA-NS4/
38,CA-NS5,Canada,55.8631,-98.485,260,ENF,http://sites.fluxdata.org/CA-NS5/
39,CA-NS6,Canada,55.9167,-98.9644,244,OSH,http://sites.fluxdata.org/CA-NS6/
40,CA-NS7,Canada,56.6358,-99.9483,297,OSH,http://sites.fluxdata.org/CA-NS7/
41,CA-Oas,Canada,53.6289,-106.1978,530,DBF,http://sites.fluxdata.org/CA-Oas/
42,CA-Obs,Canada,53.9872,-105.1178,628.94,ENF,http://sites.fluxdata.org/CA-Obs/
43,CA-Qfo,Canada,49.6925,-74.3421,382,ENF,http://sites.fluxdata.org/CA-Qfo/
44,CA-SF1,Canada,54.485,-105.8176,536,ENF,http://sites.fluxdata.org/CA-SF1/
45,CA-SF2,Canada,54.2539,-105.8775,520,ENF,http://sites.fluxdata.org/CA-SF2/
46,CA-SF3,Canada,54.0916,-106.0053,540,OSH,http://sites.fluxdata.org/CA-SF3/
47,CA-TP1,Canada,42.6609,-80.5595,265,ENF,http://sites.fluxdata.org/CA-TP1/
48,CA-TP2,Canada,42.7744,-80.4588,212,ENF,http://sites.fluxdata.org/CA-TP2/
49,CA-TP3,Canada,42.7068,-80.3483,184,ENF,http://sites.fluxdata.org/CA-TP3/
50,CA-TP4,Canada,42.7102,-80.3574,184,ENF,http://sites.fluxdata.org/CA-TP4/
51,CA-TPD,Canada,42.6353,-80.5577,260,DBF,http://sites.fluxdata.org/CA-TPD/
52,CG-Tch,Republic of Congo,-4.2892,11.6564,82,SAV,http://sites.fluxdata.org/CG-Tch/
53,CH-Cha,Switzerland,47.2102,8.4104,393,GRA,http://sites.fluxdata.org/CH-Cha/
54,CH-Dav,Switzerland,46.8153,9.8559,1639,ENF,http://sites.fluxdata.org/CH-Dav/
55,CH-Fru,Switzerland,47.1158,8.5378,982,GRA,http://sites.fluxdata.org/CH-Fru/
56,CH-Lae,Switzerland,47.4781,8.365,689,MF,http://sites.fluxdata.org/CH-Lae/
57,CH-Oe1,Switzerland,47.2858,7.7319,450,GRA,http://sites.fluxdata.org/CH-Oe1/
58,CH-Oe2,Switzerland,47.2863,7.7343,452,CRO,http://sites.fluxdata.org/CH-Oe2/
59,CN-Cha,China,42.4025,128.0958,,MF,http://sites.fluxdata.org/CN-Cha/
60,CN-Cng,China,44.5934,123.5092,,GRA,http://sites.fluxdata.org/CN-Cng/
61,CN-Dan,China,30.4978,91.0664,,GRA,http://sites.fluxdata.org/CN-Dan/
62,CN-Din,China,23.1733,112.5361,,EBF,http://sites.fluxdata.org/CN-Din/
63,CN-Du2,China,42.0467,116.2836,,GRA,http://sites.fluxdata.org/CN-Du2/
64,CN-Du3,China,42.0551,116.2809,,GRA,http://sites.fluxdata.org/CN-Du3/
65,CN-Ha2,China,37.6086,101.3269,,WET,http://sites.fluxdata.org/CN-Ha2/
66,CN-HaM,China,37.37,101.18,,GRA,http://sites.fluxdata.org/CN-HaM/
67,CN-Qia,China,26.7414,115.0581,,ENF,http://sites.fluxdata.org/CN-Qia/
68,CN-Sw2,China,41.7902,111.8971,,GRA,http://sites.fluxdata.org/CN-Sw2/
69,CZ-BK1,Czech Republic,49.5021,18.5369,875,ENF,http://sites.fluxdata.org/CZ-BK1/
70,CZ-BK2,Czech Republic,49.4944,18.5429,855,GRA,http://sites.fluxdata.org/CZ-BK2/
71,CZ-wet,Czech Republic,49.0247,14.7704,426,WET,http://sites.fluxdata.org/CZ-wet/
72,DE-Akm,Germany,53.8662,13.6834,-1,WET,http://sites.fluxdata.org/DE-Akm/
73,DE-Geb,Germany,51.1001,10.9143,161.5,CRO,http://sites.fluxdata.org/DE-Geb/
74,DE-Gri,Germany,50.9495,13.5125,385,GRA,http://sites.fluxdata.org/DE-Gri/
75,DE-Hai,Germany,51.0792,10.453,430,DBF,http://sites.fluxdata.org/DE-Hai/
76,DE-Kli,Germany,50.8929,13.5225,478,CRO,http://sites.fluxdata.org/DE-Kli/
77,DE-Lkb,Germany,49.0996,13.3047,1308,ENF,http://sites.fluxdata.org/DE-Lkb/
78,DE-Lnf,Germany,51.3282,10.3678,451,DBF,http://sites.fluxdata.org/DE-Lnf/
79,DE-Obe,Germany,50.7836,13.7196,735,ENF,http://sites.fluxdata.org/DE-Obe/
80,DE-RuR,Germany,50.6219,6.3041,514.7,GRA,http://sites.fluxdata.org/DE-RuR/
81,DE-RuS,Germany,50.8659,6.4472,102.8,CRO,http://sites.fluxdata.org/DE-RuS/
82,DE-Seh,Germany,50.8706,6.4497,103,CRO,http://sites.fluxdata.org/DE-Seh/
83,DE-SfN,Germany,47.8064,11.3275,590,WET,http://sites.fluxdata.org/DE-SfN/
84,DE-Spw,Germany,51.8923,14.0337,63,WET,http://sites.fluxdata.org/DE-Spw/
85,DE-Tha,Germany,50.9636,13.5669,380,ENF,http://sites.fluxdata.org/DE-Tha/
86,DE-Zrk,Germany,53.8759,12.889,0,WET,http://sites.fluxdata.org/DE-Zrk/
87,DK-Eng,Denmark,55.6905,12.1918,10,GRA,http://sites.fluxdata.org/DK-Eng/
88,DK-Fou,Denmark,56.4842,9.5872,51,CRO,http://sites.fluxdata.org/DK-Fou/
89,DK-NuF,Denmark,64.1308,-51.3861,50,WET,http://sites.fluxdata.org/DK-NuF/
90,DK-Sor,Denmark,55.4859,11.6446,40,DBF,http://sites.fluxdata.org/DK-Sor/
91,DK-ZaF,Denmark,74.4814,-20.5545,38,WET,http://sites.fluxdata.org/DK-ZaF/
92,DK-ZaH,Denmark,74.4732,-20.5503,38,GRA,http://sites.fluxdata.org/DK-ZaH/
93,ES-Amo,Spain,36.8336,-2.2523,58,OSH,http://sites.fluxdata.org/ES-Amo/
94,ES-LgS,Spain,37.0979,-2.9658,2267,OSH,http://sites.fluxdata.org/ES-LgS/
95,ES-LJu,Spain,36.9266,-2.7521,1600,OSH,http://sites.fluxdata.org/ES-LJu/
96,ES-Ln2,Spain,36.9695,-3.4758,2249,OSH,http://sites.fluxdata.org/ES-Ln2/
97,FI-Hyy,Finland,61.8475,24.295,181,ENF,http://sites.fluxdata.org/FI-Hyy/
98,FI-Jok,Finland,60.8986,23.5135,109,CRO,http://sites.fluxdata.org/FI-Jok/
99,FI-Let,Finland,60.6418,23.9597,119,ENF,http://sites.fluxdata.org/FI-Let/
100,FI-Lom,Finland,67.9972,24.2092,274,WET,http://sites.fluxdata.org/FI-Lom/
101,FI-Sod,Finland,67.3619,26.6378,180,ENF,http://sites.fluxdata.org/FI-Sod/
102,FR-Fon,France,48.4764,2.7801,103,DBF,http://sites.fluxdata.org/FR-Fon/
103,FR-Gri,France,48.8442,1.9519,125,CRO,http://sites.fluxdata.org/FR-Gri/
